,cow_id,bull_id
0,RU00000090385,GB00000002348
1,DE00000090396,US00000003459
2,NL00000090422,GB00000002585
3,GB00000090437,US00000003459
4,DE00000090443,FR00000002912
5,GB00000090449,US00000002804
6,DE00000090473,FR00000002912
7,GB00000090485,US00000003459
8,GB00000090564,US00000001653
9,FR00000054223,GB00000002585
10,GB00000090611,US00000002804
11,US00000090675,FR00000002912
12,DE00000090689,FR00000002912
13,GB00000090736,GB00000002348
14,RU00000090778,US00000003459
15,US00000090783,GB00000002348
16,NL00000090809,US00000002804
17,DE00000090899,US00000002804
18,GB00000090905,FR00000002912
19,FR00000090911,DE00000001742
20,US00000090917,US00000003459
21,FR00000076418,GB00000002585
22,GB00000082055,US00000001653
23,GB00000090013,US00000003459
24,GB00000090018,US00000001653
25,FR00000090030,GB00000002348
26,US00000090063,US00000002804
27,US00000037764,DE00000001742
28,FR00000089762,FR00000002912
29,FR00000089773,US00000003459
30,US00000089827,FR00000002912
31,RU00000089830,GB00000002585
32,RU00000089849,US00000002804
33,NL00000089911,FR00000002912
34,FR00000089918,US00000001653
35,NL00000005443,US00000003507
36,NL00000008740,US00000003013
37,RU00000009078,US00000000795
38,DE00000018582,US00000003013
39,RU00000036871,US00000000795
40,RU00000042201,US00000000795
41,FR00000037650,US00000003013
42,NL00000089790,FR00000002912
43,FR00000089796,DE00000001742
44,RU00000089798,FR00000002912
45,RU00000012513,US00000003507
46,RU00000022075,US00000002804
47,RU00000090259,US00000001653
48,GB00000090272,US00000002804
49,GB00000090273,US00000003459
50,GB00000023765,US00000003013
51,US00000093074,FR00000002912
52,NL00000093076,GB00000002348
53,RU00000093089,US00000001653
54,DE00000093138,US00000002804
55,GB00000093185,US00000002804
56,RU00000093211,US00000003459
57,FR00000004885,DE00000001742
58,NL00000005012,US00000003013
59,GB00000005037,US00000003013
60,US00000005077,US00000002804
61,DE00000005097,US00000002804
62,FR00000005110,US00000003507
63,RU00000005128,US00000002804
64,DE00000005206,DE00000001742
65,FR00000005217,DE00000001742
66,RU00000005222,US00000003013
67,GB00000005223,US00000000795
68,US00000005225,DE00000001742
69,US00000005226,GB00000002348
70,FR00000005227,US00000000795
71,RU00000005257,US00000002804
72,DE00000005295,US00000003013
73,GB00000005302,US00000003459
74,GB00000005304,US00000000795
75,NL00000005326,US00000003507
76,FR00000005328,US00000003013
77,RU00000005377,US00000003507
78,US00000005391,US00000003013
79,US00000005508,US00000003013
80,RU00000005606,DE00000001742
81,US00000005664,US00000003507
82,DE00000005672,US00000000795
83,DE00000005678,US00000003013
84,FR00000005737,US00000003507
85,FR00000005739,US00000000795
86,FR00000005744,DE00000001742
87,NL00000005761,US00000000795
88,RU00000005789,US00000003459
89,US00000005798,US00000000795
90,GB00000003618,US00000003507
91,DE00000005811,FR00000002912
92,NL00000005816,US00000000795
93,RU00000005820,US00000003507
94,NL00000005859,US00000000795
95,US00000005860,GB00000002585
96,US00000005874,US00000003013
97,FR00000005883,US00000002804
98,RU00000005891,US00000003459
99,NL00000005898,US00000000795
100,NL00000005940,US00000002804
101,GB00000005944,US00000003507
102,RU00000005945,DE00000001742
103,GB00000005950,US00000003507
104,US00000005967,US00000000795
105,FR00000005968,US00000000795
106,NL00000005972,US00000003013
107,RU00000006124,DE00000001742
108,FR00000006126,US00000003507
109,FR00000006131,US00000003459
110,GB00000006149,US00000002804
111,GB00000006199,DE00000001742
112,US00000006228,US00000000795
113,FR00000006229,US00000003013
114,FR00000006409,DE00000001742
115,DE00000006431,US00000003459
116,RU00000006433,US00000000795
117,DE00000006437,US00000002804
118,RU00000006445,US00000003507
119,FR00000006482,DE00000001742
120,US00000006490,DE00000001742
121,US00000006502,FR00000002912
122,RU00000006504,US00000003013
123,GB00000006512,US00000003013
124,GB00000006548,US00000003507
125,FR00000006552,US00000003013
126,DE00000006562,US00000001653
127,US00000006573,US00000003507
128,US00000006574,DE00000001742
129,GB00000006586,US00000003459
130,FR00000006587,DE00000001742
131,FR00000006651,US00000002804
132,GB00000006655,US00000000795
133,NL00000006666,US00000003507
134,RU00000007287,GB00000002348
135,US00000007300,GB00000002348
136,GB00000007309,US00000003013
137,FR00000007344,US00000002804
138,US00000007351,US00000003507
139,DE00000007352,DE00000001742
140,US00000007353,US00000003507
141,US00000007354,US00000003507
142,FR00000007355,DE00000001742
143,GB00000007368,GB00000002348
144,GB00000007377,US00000000795
145,NL00000007414,US00000002804
146,NL00000007433,US00000003013
147,DE00000007441,US00000000795
148,DE00000007481,GB00000002348
149,NL00000007545,US00000003013
150,GB00000007546,DE00000001742
151,DE00000007575,DE00000001742
152,RU00000007595,US00000001653
153,FR00000007604,US00000000795
154,RU00000007626,US00000003507
155,NL00000007637,US00000003507
156,RU00000007640,US00000003507
157,DE00000007642,US00000003507
158,FR00000007644,US00000002804
159,GB00000007697,FR00000002912
160,DE00000007794,US00000003507
161,RU00000007796,US00000003013
162,NL00000007840,US00000000795
163,DE00000007853,DE00000001742
164,GB00000007915,US00000003507
165,RU00000007932,US00000003013
166,NL00000007939,US00000002804
167,GB00000007959,US00000000795
168,DE00000007962,DE00000001742
169,RU00000006728,US00000003507
170,GB00000006734,DE00000001742
171,DE00000006764,FR00000002912
172,NL00000006773,US00000002804
173,US00000006805,DE00000001742
174,US00000006846,US00000003013
175,GB00000006915,DE00000001742
176,DE00000006916,GB00000002348
177,DE00000007993,DE00000001742
178,NL00000008020,US00000003013
179,US00000008040,FR00000002912
180,RU00000008055,DE00000001742
181,RU00000008086,DE00000001742
182,RU00000008092,US00000003507
183,DE00000008125,DE00000001742
184,DE00000008128,DE00000001742
185,FR00000008132,US00000000795
186,FR00000008138,FR00000002912
187,NL00000008154,US00000003013
188,US00000008157,DE00000001742
189,DE00000008165,DE00000001742
190,FR00000004266,DE00000001742
191,GB00000006918,US00000000795
192,RU00000006920,DE00000001742
193,US00000006921,US00000003507
194,NL00000006922,FR00000002912
195,GB00000006924,US00000003013
196,RU00000006925,US00000000795
197,DE00000006927,GB00000002348
198,DE00000006928,US00000000795
199,NL00000006929,DE00000001742
200,DE00000006930,US00000000795
201,RU00000006931,US00000000795
202,NL00000006932,GB00000002348
203,GB00000006933,DE00000001742
204,NL00000006935,US00000000795
205,NL00000006936,GB00000002348
206,FR00000006937,GB00000002348
207,US00000006938,US00000000795
208,NL00000006939,US00000003507
209,DE00000006940,GB00000002348
210,RU00000006941,US00000003013
211,DE00000006944,US00000000795
212,GB00000006946,GB00000002348
213,US00000006947,US00000003507
214,DE00000006948,US00000000795
215,NL00000006949,US00000002804
216,NL00000006950,US00000003507
217,US00000006951,US00000000795
218,NL00000007045,US00000003507
219,NL00000007083,US00000003459
220,NL00000007118,US00000003013
221,US00000007121,US00000000795
222,NL00000007136,US00000003507
223,GB00000007158,DE00000001742
224,DE00000004276,DE00000001742
225,US00000004288,US00000003013
226,NL00000004289,DE00000001742
227,GB00000004301,US00000003507
228,GB00000008190,US00000000795
229,US00000008206,US00000002804
230,DE00000008215,US00000003507
231,GB00000008216,US00000000795
232,FR00000008225,US00000000795
233,NL00000008267,US00000003507
234,RU00000008285,GB00000002348
235,NL00000008296,US00000003507
236,GB00000008299,US00000000795
237,DE00000008309,US00000003013
238,US00000008310,DE00000001742
239,RU00000008312,DE00000001742
240,RU00000008314,US00000003507
241,NL00000004377,US00000000795
242,DE00000004383,US00000000795
243,RU00000004385,US00000002804
244,DE00000004407,DE00000001742
245,GB00000004422,US00000003013
246,RU00000004428,US00000003013
247,FR00000004432,US00000003507
248,FR00000007218,US00000003013
249,RU00000007232,US00000003507
250,NL00000007259,US00000003013
251,NL00000009101,DE00000001742
252,RU00000009103,US00000003507
253,RU00000009142,US00000003507
254,DE00000009143,DE00000001742
255,RU00000009148,US00000003013
256,FR00000009173,US00000003507
257,US00000009197,US00000003507
258,RU00000008481,US00000000795
259,RU00000008482,US00000000795
260,NL00000008505,US00000002804
261,NL00000008506,US00000000795
262,DE00000008512,US00000003507
263,NL00000008532,US00000003013
264,US00000008554,US00000000795
265,FR00000008593,US00000002804
266,RU00000008603,US00000003507
267,DE00000008605,US00000003013
268,FR00000008632,US00000000795
269,DE00000008646,US00000000795
270,US00000004473,US00000003013
271,RU00000004480,US00000003507
272,GB00000004508,US00000003459
273,DE00000004510,US00000003507
274,US00000004511,US00000000795
275,GB00000004512,US00000003507
276,RU00000004513,US00000003013
277,US00000004514,US00000003013
278,RU00000004530,US00000002804
279,FR00000004557,US00000003013
280,GB00000004573,US00000003013
281,NL00000004584,US00000003507
282,NL00000009206,GB00000002348
283,RU00000009209,DE00000001742
284,DE00000009220,US00000003459
285,DE00000009234,US00000003507
286,NL00000009246,US00000000795
287,FR00000009273,DE00000001742
288,US00000009276,US00000003013
289,US00000009278,US00000003013
290,RU00000009283,DE00000001742
291,RU00000009285,DE00000001742
292,RU00000009304,US00000003507
293,US00000009322,US00000000795
294,DE00000009348,US00000003459
295,FR00000009358,US00000000795
296,FR00000009362,US00000000795
297,GB00000004605,US00000002804
298,FR00000004643,US00000003459
299,NL00000008652,DE00000001742
300,DE00000008676,US00000003013
301,US00000008709,US00000000795
302,US00000008717,US00000000795
303,GB00000008736,DE00000001742
304,FR00000008737,US00000003507
305,GB00000008738,US00000003459
306,GB00000008739,US00000002804
307,US00000008741,DE00000001742
308,US00000008742,US00000000795
309,FR00000008757,US00000003013
310,US00000008759,GB00000002348
311,RU00000008793,DE00000001742
312,GB00000008824,FR00000002912
313,GB00000004665,GB00000002585
314,FR00000004669,US00000003013
315,NL00000004712,US00000003013
316,FR00000004716,DE00000001742
317,RU00000004731,US00000003013
318,NL00000004735,US00000003459
319,DE00000004736,GB00000002348
320,GB00000004742,US00000003013
321,GB00000004778,US00000000795
322,US00000004806,US00000003507
323,RU00000004809,US00000002804
324,RU00000004810,US00000003013
325,GB00000009412,US00000000795
326,NL00000009413,US00000000795
327,NL00000009415,US00000003507
328,RU00000009432,US00000000795
329,DE00000009457,DE00000001742
330,NL00000009466,US00000002804
331,US00000009493,DE00000001742
332,FR00000009525,US00000000795
333,FR00000009570,US00000000795
334,NL00000009585,US00000003013
335,NL00000009593,US00000000795
336,NL00000009608,US00000003013
337,FR00000011357,US00000003013
338,RU00000011359,US00000000795
339,GB00000008880,US00000003507
340,GB00000008887,US00000003507
341,GB00000008935,US00000003459
342,GB00000008948,GB00000002348
343,US00000008952,US00000003507
344,FR00000008955,US00000003013
345,RU00000008959,US00000002804
346,GB00000009016,DE00000001742
347,FR00000009017,US00000002804
348,GB00000012926,US00000003507
349,DE00000012932,US00000003507
350,RU00000012951,US00000000795
351,US00000012954,DE00000001742
352,RU00000012970,US00000003459
353,DE00000012971,US00000003013
354,RU00000012974,DE00000001742
355,GB00000012978,US00000003013
356,NL00000012987,US00000002804
357,FR00000012992,GB00000002348
358,DE00000013019,US00000000795
359,FR00000013068,US00000003013
360,RU00000009644,US00000000795
361,RU00000009659,US00000002804
362,NL00000009662,US00000000795
363,GB00000009674,GB00000002348
364,DE00000009675,DE00000001742
365,NL00000009682,FR00000002912
366,DE00000009691,GB00000002348
367,FR00000009692,US00000003507
368,US00000009697,US00000000795
369,US00000009700,DE00000001742
370,RU00000009701,US00000003013
371,FR00000009702,US00000000795
372,NL00000009705,US00000003507
373,RU00000009706,DE00000001742
374,NL00000009707,US00000003507
375,NL00000009709,GB00000002348
376,FR00000009711,US00000003013
377,NL00000009713,US00000000795
378,GB00000009714,DE00000001742
379,FR00000009718,US00000003507
380,FR00000009719,US00000000795
381,DE00000009745,GB00000002348
382,RU00000009747,DE00000001742
383,RU00000009748,FR00000002912
384,DE00000009823,US00000003459
385,GB00000011398,DE00000001742
386,NL00000011402,DE00000001742
387,US00000011403,DE00000001742
388,US00000011443,US00000003013
389,FR00000011448,US00000000795
390,NL00000011494,US00000000795
391,RU00000011511,US00000000795
392,DE00000011545,GB00000002348
393,DE00000011546,US00000000795
394,FR00000011547,US00000003507
395,GB00000011548,GB00000002348
396,GB00000009878,US00000003507
397,FR00000009890,US00000000795
398,FR00000009895,US00000000795
399,RU00000009903,US00000003507
400,US00000009913,DE00000001742
401,DE00000009952,US00000003507
402,NL00000009965,US00000003507
403,GB00000010033,US00000000795
404,FR00000010043,GB00000002348
405,NL00000010056,US00000003013
406,US00000010057,US00000003507
407,RU00000011560,US00000003507
408,RU00000011565,US00000003507
409,DE00000011572,DE00000001742
410,RU00000011577,US00000002804
411,FR00000011610,US00000003507
412,DE00000011618,FR00000002912
413,FR00000011644,US00000003459
414,RU00000011721,US00000003507
415,FR00000011772,US00000002804
416,FR00000011780,FR00000002912
417,NL00000013082,DE00000001742
418,US00000013084,US00000003013
419,NL00000013098,US00000000795
420,NL00000013126,US00000000795
421,RU00000013148,US00000003507
422,DE00000013154,US00000003013
423,DE00000013162,US00000003459
424,NL00000013193,US00000003459
425,RU00000013200,US00000003507
426,NL00000013223,DE00000001742
427,DE00000013225,US00000003013
428,DE00000013226,US00000003507
429,GB00000013227,DE00000001742
430,NL00000013229,US00000000795
431,FR00000013230,US00000000795
432,RU00000013231,GB00000002348
433,RU00000011786,GB00000002585
434,RU00000011796,DE00000001742
435,DE00000011808,DE00000001742
436,GB00000011809,US00000000795
437,GB00000011810,US00000003459
438,DE00000011811,US00000003013
439,US00000011812,DE00000001742
440,RU00000011813,US00000002804
441,RU00000011814,US00000000795
442,FR00000011841,US00000000795
443,FR00000011845,US00000003459
444,DE00000010098,DE00000001742
445,RU00000010110,US00000003459
446,RU00000010142,DE00000001742
447,NL00000010145,GB00000002348
448,FR00000010147,US00000003013
449,DE00000010169,DE00000001742
450,NL00000010171,US00000000795
451,GB00000010194,DE00000001742
452,NL00000010223,US00000000795
453,GB00000010235,US00000000795
454,FR00000010264,US00000002804
455,FR00000010269,DE00000001742
456,US00000010270,DE00000001742
457,NL00000010271,US00000003507
458,GB00000010272,US00000000795
459,NL00000011987,US00000003013
460,GB00000012011,US00000003507
461,FR00000012042,US00000000795
462,FR00000012047,US00000000795
463,DE00000012060,US00000000795
464,RU00000012069,US00000003013
465,NL00000012091,US00000003013
466,RU00000012098,US00000003013
467,FR00000012099,US00000003507
468,NL00000012145,US00000000795
469,NL00000012146,US00000002804
470,GB00000012165,US00000003459
471,FR00000012170,US00000002804
472,RU00000013378,US00000001653
473,DE00000013393,US00000003013
474,FR00000013415,US00000003507
475,DE00000013446,US00000002804
476,DE00000013449,GB00000002348
477,RU00000013470,US00000001653
478,FR00000013474,US00000003013
479,NL00000013484,DE00000001742
480,RU00000013489,US00000003459
481,GB00000013502,DE00000001742
482,RU00000012190,US00000003013
483,FR00000012202,US00000003013
484,GB00000012203,DE00000001742
485,RU00000012205,US00000000795
486,GB00000012206,US00000000795
487,DE00000010292,US00000003507
488,FR00000010296,US00000003459
489,DE00000010301,US00000003013
490,GB00000010346,US00000000795
491,RU00000010348,FR00000002912
492,DE00000010360,US00000003507
493,RU00000010395,US00000002804
494,FR00000010410,US00000002804
495,DE00000010412,US00000000795
496,US00000010446,US00000003459
497,GB00000010447,US00000003507
498,FR00000010448,DE00000001742
499,RU00000012216,US00000002804
500,DE00000012243,US00000000795
501,DE00000012273,US00000003013
502,RU00000012276,GB00000002348
503,RU00000012286,US00000003507
504,US00000012297,US00000003507
505,NL00000012344,US00000003013
506,GB00000012374,US00000000795
507,US00000012420,DE00000001742
508,FR00000012438,US00000003507
509,US00000012450,US00000000795
510,DE00000012456,US00000003013
511,NL00000013518,US00000000795
512,NL00000013529,US00000000795
513,DE00000013553,DE00000001742
514,NL00000013568,GB00000002348
515,DE00000013594,DE00000001742
516,NL00000013597,US00000003507
517,NL00000013600,US00000000795
518,NL00000013604,US00000000795
519,DE00000013669,US00000000795
520,US00000013676,US00000003459
521,GB00000013682,DE00000001742
522,GB00000013702,US00000002804
523,DE00000013715,GB00000002585
524,NL00000013735,US00000003507
525,GB00000012472,US00000003013
526,DE00000012483,GB00000002348
527,GB00000012489,US00000001653
528,DE00000010568,US00000003507
529,GB00000010580,US00000000795
530,DE00000010621,DE00000001742
531,RU00000010622,US00000003507
532,GB00000010624,US00000002804
533,RU00000010642,US00000003013
534,DE00000010683,US00000003507
535,NL00000010705,US00000003013
536,DE00000010714,US00000003013
537,NL00000010718,US00000003013
538,RU00000010728,DE00000001742
539,NL00000010733,US00000003507
540,RU00000010740,US00000003013
541,NL00000012507,DE00000001742
542,DE00000012509,GB00000002348
543,US00000012510,GB00000002348
544,GB00000012512,GB00000002348
545,US00000012515,US00000003013
546,NL00000012516,DE00000001742
547,FR00000012518,US00000003013
548,NL00000012520,GB00000002348
549,DE00000012521,GB00000002348
550,US00000012522,US00000002804
551,US00000012524,US00000003507
552,NL00000012526,US00000003507
553,NL00000012528,US00000000795
554,RU00000012529,US00000000795
555,GB00000012530,GB00000002348
556,FR00000012531,US00000003507
557,NL00000012532,DE00000001742
558,NL00000012533,GB00000002348
559,US00000012568,US00000003013
560,DE00000012638,FR00000002912
561,RU00000012639,US00000003459
562,US00000012645,DE00000001742
563,US00000012704,DE00000001742
564,GB00000012712,US00000003459
565,US00000012732,DE00000001742
566,DE00000013775,US00000001653
567,NL00000013776,US00000003013
568,DE00000013779,US00000002804
569,GB00000013784,US00000002804
570,GB00000013790,US00000003013
571,FR00000013798,US00000003013
572,DE00000013818,US00000002804
573,US00000013822,US00000002804
574,DE00000013831,DE00000001742
575,NL00000013857,US00000002804
576,GB00000013868,US00000003459
577,FR00000013938,FR00000002912
578,FR00000014000,GB00000002585
579,NL00000014004,US00000003507
580,RU00000014037,GB00000002348
581,NL00000010752,US00000003507
582,NL00000010786,US00000002804
583,DE00000010787,US00000002804
584,US00000010793,US00000003507
585,FR00000010795,US00000003507
586,RU00000010802,FR00000002912
587,DE00000010828,US00000003507
588,GB00000010834,US00000003459
589,US00000010839,US00000003459
590,NL00000010843,US00000003507
591,NL00000012796,US00000001653
592,FR00000012848,US00000002804
593,RU00000012864,US00000000795
594,US00000016229,US00000003013
595,GB00000016325,US00000003013
596,NL00000016334,US00000002804
597,US00000016337,DE00000001742
598,FR00000016362,GB00000002348
599,FR00000016364,US00000000795
600,RU00000016371,US00000003459
601,DE00000016379,US00000003507
602,DE00000016391,US00000003459
603,NL00000016401,US00000003507
604,US00000014054,US00000000795
605,DE00000014060,US00000003507
606,US00000014067,US00000000795
607,FR00000014134,US00000003507
